,OSOURCE,TCODE,STATE,MAILCODE,RECINHSE,RECP3,DOMAIN,WEALTH2,VETERANS,CRAFTS,WALKER,PEPSTRFL,RFA_5,RFA_24,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
20,20.0,2.0,10.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,224.0,112.0,0.044217946987662106,2.3774092973488536,-0.2715374123879804,-1.5291868101367365,0.30300590803956323,0.284678643009477,-0.30177582014582766,0.13627985225981673,-0.5534421285079829,-0.2757519007997387,0.33482270180939283,0.04427266692931625,0.7439598755474326
30,22.0,0.0,14.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,192.0,48.0,3.1618054275939196,1.3103425663356905,1.2796789082877567,-2.0480174415763375,1.3511188818578033,0.44759456742821807,-3.08805709585242,-0.09725073295980405,0.4948148568273162,-0.598420109397135,0.9628656074795553,-0.49246246221618045,-0.03191312930283201
45,6.0,0.0,7.0,0.0,0.0,0.0,4.0,9.0,1.0,0.0,1.0,0.0,224.0,224.0,0.3334372638556903,2.6473451059381063,0.7114473960790568,-1.7113544074120304,0.7062894345410141,-0.008161342038521195,0.7815397503131496,-0.36334499098803097,-0.4658434442926702,0.000912919067012316,-0.4742967219452829,-0.4130447477184277,0.23096728683848353
78,54.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,36.0,2.224683921486696,2.3958614429520155,1.5008675126567623,-0.6678434555370935,-0.7343066193192902,-0.9183477187440098,-0.578596259802487,0.6706386599191034,-0.6231694926380645,0.28820896697520443,-1.7451237725040052,-0.5029560439874412,0.31530988914769503
93,23.0,1.0,18.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,63.0,54.0,-1.0224590009818464,-0.2067902784417715,0.07361530724013216,-0.3830501180528643,-0.9973127453871083,1.1620586651648916,-0.3533782797738123,-1.0487743471055222,0.44337924652674926,0.8040632668350659,0.9463367242549819,-0.6514100619104928,-0.8024419675219606
101,62.0,0.0,27.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,54.0,4.0,0.01899441791910074,-0.8545594126049414,-1.4050077319477507,-1.2599323751911424,1.8750623260355883,-1.9303402998392993,1.0811794924640215,0.27320832261436023,1.2508171477723844,-0.770599494064345,0.41918173287661276,1.2061600641235142,-0.431969877259722
115,22.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,224.0,40.0,2.584626233507217,-1.3720893483224608,1.7298218967132406,0.6299581016085622,-1.1016604853726457,-0.06477397248276917,1.2249211613252293,-0.49790712212703064,-0.44495781554636676,-0.04073867129997726,0.4637139707215916,0.9993630015826628,-0.010692383895856798
126,31.0,28.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,8.0,1.2453640968857647,-1.4162974292538157,0.4623156460405145,-0.5066332864005467,-0.22977433721396406,0.37406975988488655,0.4754046638387145,-0.24073157578656817,0.02534008879631996,1.1928615443196435,-0.44304376310724103,0.04121890795421979,0.8123978274919911
192,92.0,0.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,72.0,8.0,-1.4846122401439692,-2.2778955682019446,0.9712444111573145,-0.5182815516795193,1.009767931166789,0.26551137558002436,-0.05482222731296008,1.0819212918601673,-1.6394025153745422,1.1208499797710236,-0.5156832385664618,-0.20921389936238916,-0.9718644738163641
203,27.0,0.0,26.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,1.523689740499367,1.6172800239142586,-1.7353218303050042,0.06577635222915618,0.4181208098759008,-0.09233213788222278,-1.9848012819807894,-0.6324363261677856,-0.8355602302050933,0.3190929562594958,0.4526005657276624,0.4979188017651177,0.2341639036842949
213,60.0,2.0,3.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,63.0,45.0,-0.12650328348793474,3.8217127572744993,-1.0124331514261917,-0.4361381974971333,-1.3450243351857158,-0.9132401742801681,-0.5282635551242453,1.0399907969145066,-1.2773046702088433,-0.7670927003632946,0.598045758165575,-0.8904358083209513,-0.012507827871904027
241,58.0,1.0,9.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,36.0,-0.8489846003302789,-1.5573598813310219,-0.21176758227120135,-0.2742311307302476,-0.4832587812844668,-2.1270032824623732,0.21918808141007554,-0.20044995496449644,1.325294102567491,0.9075875958126943,-0.9735581966439424,0.07036130745198421,-1.1066226685086133
244,108.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,54.0,0.7640701476505142,0.8871213230718045,2.0913999774570886,-0.6624017912173623,-0.6072838855741932,1.1637163978536178,0.6051269046002351,0.10643487602563251,1.089683165261862,0.9250237470464239,0.6397572797331553,1.0368341312036424,0.2865123556602339
261,32.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,36.0,120.0,-1.168672529833084,-0.986826854806148,3.35284876940261,-0.29354259951015227,0.9848952730928812,-0.22785625116280744,-0.39160858300069534,1.5535922823416828,-1.9289653105348132,0.7883503456608932,-1.364070719764912,0.9666682056453527,-0.6894636585239855
271,113.0,4.0,12.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7308550091397596,0.05593647762735983,2.0857102380657575,0.603248986946555,0.8197730249487777,0.6900858359166003,-1.1532095266492182,-0.5549488084314512,0.5278462864546567,0.19017247701855966,-0.9389945850378156,0.8815319218942149,1.5439206265447494
273,6.0,1002.0,14.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,224.0,224.0,-2.2847178854118813,4.660157222044447,0.8329412591309081,-1.5275607834645841,-0.12156082851540846,0.579634475542777,-0.7394153211828355,-0.5578374579650688,0.1838220433291616,-0.7697418388192471,0.7325399343957363,0.3826033938416888,0.03133760536319932
281,22.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,224.0,40.0,0.6264055049618592,-3.411659861094349,1.3225084410324985,0.5624545392471276,-0.3044304902039934,-0.5505767244272747,-0.794433730579838,0.014010253238874578,-0.960159351521877,0.9316125200569104,0.3275134206099149,0.8988228387868509,0.0017781948688509114
318,30.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,63.0,42.0,-5.469846577904349,-1.4531640391446916,1.0871426882656905,0.17077540590096602,-0.4497834445750449,0.5425439367519671,3.514117500311763,0.23793957801464796,-1.114123121226945,-1.2585568886587175,1.1737634423170498,-0.6778899175408463,-0.01371469310920541
383,41.0,0.0,35.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,84.0,42.0,-1.2777121388578103,0.4176350153156354,3.1400414982904405,-1.27247455554812,0.9675298743483814,0.7884585624602686,-0.14122620138516803,0.896406527465926,0.5279362143330928,0.24620306630437844,0.35347330957094486,1.020401656839466,0.6513286398490047
393,8.0,2.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,224.0,224.0,-6.1593579641583025,0.7862323254009255,-0.5564716702897353,-0.9306501625119645,-0.21061395306149713,0.3458057831696911,-0.8065961066591429,-1.283307395527825,-0.25055337550669887,-1.6315484771048339,0.4551401210517833,-1.2015268820932032,0.8301568094751967
394,90.0,1.0,3.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,0.9763412495836141,1.2416179982946085,-1.626683700761076,-1.0010777879682495,1.476798707446998,0.4031071346863284,1.6339436296142595,0.5214195785647868,-0.7652680839642133,-0.30075456005056217,3.095174361380148,-0.7830246649881916,-0.20283808007695742
429,62.0,1.0,17.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.01602615476550386,-2.040488799681465,2.9638757043224166,-0.3370030656088881,0.6549095774907187,-0.08898960464039583,1.5480288494516983,-0.2838448917443427,-0.19884319269480946,0.05917116422673812,-0.374674367937573,-0.15180337408643477,0.513013148810735
457,27.0,0.0,5.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,1.0,180.0,0.0,-0.6924019735403767,0.30793222518962543,0.2698068721584345,0.7283889799210324,-1.051561882029004,0.3961283073615916,0.658051853102503,-0.4943030325475926,0.22012233877784068,0.32742525797636135,0.8328875404184712,0.09516133986399032,1.0277888251153913
459,8.0,1002.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,42.0,-1.3659941656979466,0.5132707630391787,-0.7154296732471489,-0.4082839979971649,-0.2668059427034999,1.6315296007137852,-1.2165511249732281,-1.6843754405642204,1.1179370082729814,-0.34036894087792113,-1.6409422182310835,-0.47970960020785713,-0.3649154732184958
482,22.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,72.0,48.0,0.5836073693344934,0.30376684255834846,-0.5292366319634374,-0.9988141510273019,0.4920488144904005,1.0150178147609672,-0.3463726580392996,-0.6278391062720462,0.4674781352692069,0.29197673706711436,0.18318402943816345,-0.1334003475159611,-0.20705603561285651
490,66.0,1.0,19.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,12.0,1.4965556118398984,-0.24431705499754724,-0.21620197620986453,-0.2789020663731337,1.5345210855655596,-3.022905717499618,1.3221355777153418,0.12889888693291837,0.8087079671866841,-0.38696218748630573,-0.8178500107874289,-0.12615142520453118,-0.20532713036723468
493,52.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,224.0,40.0,2.8121349093433685,-1.148563207525588,1.2451497057660728,-0.42873742626339084,-2.222115645030906,-0.545240986787559,0.6284652853989025,-0.09116788553142716,-0.38642473896946183,-0.17119695033318783,0.7814076216623157,0.48337789006187754,-0.15578055738236712
515,22.0,1.0,18.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,60.0,0.0,1.1478274578463135,-0.17626828610211528,2.4308797560731374,1.6464132918464185,3.4222707043541583,0.48628566725520067,-0.738558770074487,-0.3683104066386162,0.264363781289892,-0.016038084988746364,0.07601834104367519,-0.11489308733061272,0.5528650206457332
523,39.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,36.0,1.5522344597630722,0.4184079043463085,-1.9718629561841359,0.337480040013916,0.0759329832657421,-0.07307409789442329,-0.23778206587848671,-0.711142973259834,-0.8795254368942363,0.5438661611054388,-1.7891155933451084,0.25596142388710086,0.22188261807849402
525,32.0,0.0,10.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,36.0,144.0,-0.8026677624561487,-0.7061442776439911,-1.3581005682833258,-0.4864433785790871,-1.6207631253356485,0.5572408066870703,0.10926682690653716,-0.9464931460701869,-0.23576632778258905,-0.5569219034007875,-1.6640042480265709,-1.1072859375575943,-0.8608594394919611
554,32.0,28.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,42.0,-4.280083547908943,-1.7922658359221042,-1.501419835103074,0.7055452706528454,-1.1183058577324,-0.8465645244502865,-0.3283671119312896,-0.19816317688443527,1.4176158571534183,-1.3997830439670478,-0.6580141147789427,-0.12815623226409295,1.5996481740962436
